lang_pair,src_num_texts,src_num_tokens,src_num_segments,tgt_num_texts,tgt_num_tokens,tgt_num_segments,tot_num_tokens
ell_Grek-vie_Latn,8446884,89473764,6584632,8446884,116391759,5861537,205865523
ces_Latn-nor_Latn,8008342,98343193,6845320,8008342,107468917,6809715,205812110
eng_Latn-kin_Latn,10180433,108689757,20076702,10180433,97094963,7576554,205784720
fin_Latn-nor_Latn,8111868,88487425,7086472,8111868,114513452,7080260,203000877
ces_Latn-lit_Latn,7453241,104582234,6456032,7453241,96649387,6784675,201231621
est_Latn-por_Latn,6718896,83650413,5947355,6718896,114265596,5961415,197916009
ara_Arab-est_Latn,12526333,102126816,6803502,12526333,95331982,11800963,197458798
fin_Latn-hun_Latn,7815387,90207173,6805812,7815387,106671329,7046454,196878502
ell_Grek-ind_Latn,8962679,104101244,7358042,8962679,92673860,7257237,196775104
est_Latn-nld_Latn,6883449,83524028,6139720,6883449,112827800,5948456,196351828
ell_Grek-slv_Latn,6060419,105961445,5203114,6060419,90192022,5185328,196153467
dan_Latn-slv_Latn,6370040,101020797,5725461,6370040,94419239,5410356,195440036
deu_Latn-mlt_Latn,5284286,100291994,5166010,5284286,94629365,4444702,194921359
ara_Arab-hin_Deva,7116418,86610095,5518297,7116418,106397378,1865074,193007473
fra_Latn-ukr_Cyrl,7644724,107515099,6043095,7644724,84610804,6046583,192125903
afr_Latn-fra_Latn,9582945,89249983,7257306,9582945,99745996,7987062,188995979
eng_Latn-uig_Arab,9952068,107929172,21449179,9952068,80630110,8210253,188559282
fin_Latn-slk_Latn,7435826,85311929,6368092,7435826,103201126,6387916,188513055
eng_Latn-tat_Cyrl,10642379,104094496,20618811,10642379,84180974,7590343,188275470
zho_Hani-vie_Latn,10596305,12761530,16856606,10596305,174727202,8042625,187488732
zho_Hani-nld_Latn,16323773,18576848,24508514,16323773,168552579,14838721,187129427
ell_Grek-tur_Latn,10812515,103601420,8191767,10812515,81366531,8299760,184967951
eng_Latn-bos_Latn,12260603,100216376,27784993,12260603,84594635,11943885,184811011
fin_Latn-ron_Latn,6422326,75105367,5642957,6422326,109376639,5628194,184482006
hrv_Latn-rus_Cyrl,7704981,92054357,6662306,7704981,90057941,6474336,182112298
ell_Grek-fin_Latn,6278460,107213429,5509949,6278460,74816916,5553562,182030345
bul_Cyrl-fin_Latn,6460973,104404067,5704159,6460973,76801143,5695689,181205210
est_Latn-pol_Latn,7021492,83887233,6131422,7021492,96817129,6385662,180704362
ces_Latn-est_Latn,6651015,94197226,5866472,6651015,82357213,5867238,176554439
dan_Latn-lit_Latn,5780664,94746232,5389763,5780664,80223638,5393509,174969870
